rule,layer,roi,subject,rho,pval,seed_idx
Burstprop,Conv2,V2,sub-03,0.0039,0.04707,2
Burstprop,Conv2,V3,sub-01,0.01772,0.0,2
Burstprop,Conv2,V3,sub-02,0.04162,0.0,2
Burstprop,Conv2,V3,sub-03,0.00559,0.00445,2
Burstprop,Conv2,V4,sub-01,0.00612,0.00186,2
Burstprop,Conv2,V4,sub-02,0.01906,0.0,2
Burstprop,Conv2,V4,sub-03,0.00646,0.00101,2
Burstprop,Conv2,LOC,sub-01,0.00789,6e-05,2
Burstprop,Conv2,LOC,sub-02,0.01563,0.0,2
Burstprop,Conv2,LOC,sub-03,0.00052,0.79212,2
Burstprop,Conv2,IT,sub-01,0.01132,0.0,2
Burstprop,Conv2,IT,sub-02,0.01464,0.0,2
Burstprop,Conv2,IT,sub-03,0.00456,0.02046,2
Burstprop,Conv3,V1,sub-01,0.03495,0.0,2
Burstprop,Conv3,V1,sub-02,0.05257,0.0,2
Burstprop,Conv3,V1,sub-03,0.01316,0.0,2
Burstprop,Conv3,V2,sub-01,0.0218,0.0,2
Burstprop,Conv3,V2,sub-02,0.04129,0.0,2
Burstprop,Conv3,V2,sub-03,0.00502,0.0107,2
Burstprop,Conv3,V3,sub-01,0.01699,0.0,2
Burstprop,Conv3,V3,sub-02,0.0436,0.0,2
Burstprop,Conv3,V3,sub-03,0.00478,0.01493,2
Burstprop,Conv3,V4,sub-01,0.0068,0.00054,2
Burstprop,Conv3,V4,sub-02,0.02352,0.0,2
Burstprop,Conv3,V4,sub-03,0.00713,0.00029,2
Burstprop,Conv3,LOC,sub-01,0.00744,0.00015,2
Burstprop,Conv3,LOC,sub-02,0.02014,0.0,2
Burstprop,Conv3,LOC,sub-03,0.00087,0.65963,2
Burstprop,Conv3,IT,sub-01,0.0106,0.0,2
Burstprop,Conv3,IT,sub-02,0.02162,0.0,2
Burstprop,Conv3,IT,sub-03,0.00408,0.03783,2
Burstprop,FC1,V1,sub-01,0.0315,0.0,2
Burstprop,FC1,V1,sub-02,0.06494,0.0,2
Burstprop,FC1,V1,sub-03,0.01148,0.0,2
Burstprop,FC1,V2,sub-01,0.02228,0.0,2
Burstprop,FC1,V2,sub-02,0.05201,0.0,2
Burstprop,FC1,V2,sub-03,0.00316,0.10828,2
Burstprop,FC1,V3,sub-01,0.017,0.0,2
Burstprop,FC1,V3,sub-02,0.06027,0.0,2
Burstprop,FC1,V3,sub-03,0.00375,0.05627,2
Burstprop,FC1,V4,sub-01,0.01015,0.0,2
Burstprop,FC1,V4,sub-02,0.02908,0.0,2
Burstprop,FC1,V4,sub-03,0.0076,0.00011,2
Burstprop,FC1,LOC,sub-01,0.00514,0.00892,2
Burstprop,FC1,LOC,sub-02,0.01524,0.0,2
Burstprop,FC1,LOC,sub-03,0.00094,0.63357,2
Burstprop,FC1,IT,sub-01,0.00747,0.00014,2
Burstprop,FC1,IT,sub-02,0.01914,0.0,2
Burstprop,FC1,IT,sub-03,0.00282,0.15066,2
