rule,layer,roi,subject,seed_idx,epoch,rho,pval
Backprop,Conv2,V4,sub-02,0,1,0.000562,0.775124
Backprop,Conv2,V4,sub-03,0,1,0.009306,2e-06
Backprop,Conv2,LOC,sub-01,0,1,0.006184,0.001653
Backprop,Conv2,LOC,sub-02,0,1,0.006254,0.001463
Backprop,Conv2,LOC,sub-03,0,1,7.1e-05,0.971112
Backprop,Conv2,IT,sub-01,0,1,0.008535,1.4e-05
Backprop,Conv2,IT,sub-02,0,1,0.005249,0.007577
Backprop,Conv2,IT,sub-03,0,1,0.000895,0.648986
Backprop,Conv3,V1,sub-01,0,1,-0.015935,0.0
Backprop,Conv3,V1,sub-02,0,1,-0.025207,0.0
Backprop,Conv3,V1,sub-03,0,1,0.003284,0.094795
Backprop,Conv3,V2,sub-01,0,1,-0.003008,0.125955
Backprop,Conv3,V2,sub-02,0,1,-0.016117,0.0
Backprop,Conv3,V2,sub-03,0,1,0.001904,0.332653
Backprop,Conv3,V3,sub-01,0,1,-0.001597,0.416419
Backprop,Conv3,V3,sub-02,0,1,-0.014787,0.0
Backprop,Conv3,V3,sub-03,0,1,0.002918,0.137644
Backprop,Conv3,V4,sub-01,0,1,-0.006471,0.000995
Backprop,Conv3,V4,sub-02,0,1,-0.00432,0.02797
Backprop,Conv3,V4,sub-03,0,1,0.009496,1e-06
Backprop,Conv3,LOC,sub-01,0,1,0.004557,0.020436
Backprop,Conv3,LOC,sub-02,0,1,0.005198,0.008176
Backprop,Conv3,LOC,sub-03,0,1,0.00092,0.6398
Backprop,Conv3,IT,sub-01,0,1,0.005963,0.002414
Backprop,Conv3,IT,sub-02,0,1,0.002502,0.203092
Backprop,Conv3,IT,sub-03,0,1,0.001128,0.566046
Backprop,FC1,V1,sub-01,0,1,-0.006381,0.001168
Backprop,FC1,V1,sub-02,0,1,-0.009462,1e-06
Backprop,FC1,V1,sub-03,0,1,0.006594,0.000795
Backprop,FC1,V2,sub-01,0,1,0.002225,0.257735
Backprop,FC1,V2,sub-02,0,1,-0.001814,0.356135
Backprop,FC1,V2,sub-03,0,1,0.00322,0.101384
Backprop,FC1,V3,sub-01,0,1,0.001334,0.497417
Backprop,FC1,V3,sub-02,0,1,-0.000761,0.698446
Backprop,FC1,V3,sub-03,0,1,0.002712,0.167615
Backprop,FC1,V4,sub-01,0,1,-0.003715,0.058734
Backprop,FC1,V4,sub-02,0,1,0.002598,0.186283
Backprop,FC1,V4,sub-03,0,1,0.009627,1e-06
Backprop,FC1,LOC,sub-01,0,1,0.002969,0.130974
Backprop,FC1,LOC,sub-02,0,1,0.008527,1.4e-05
Backprop,FC1,LOC,sub-03,0,1,0.002155,0.272948
Backprop,FC1,IT,sub-01,0,1,0.004125,0.035847
Backprop,FC1,IT,sub-02,0,1,0.00698,0.000384
